GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ForexCard,com.forexcard,ForexCardApplication,5,3,0,0,2,1,1,1,1,1
ForexCard,com.forexcard.model,Currency,39,17,0,0,13,8,6,5,6,5
ForexCard,com.forexcard.model,Transaction,77,51,0,0,21,24,9,14,9,14
ForexCard,com.forexcard.model,User,123,49,0,0,47,22,21,13,21,13
ForexCard,com.forexcard.model,ForexCard,82,58,0,0,22,27,9,16,9,16
ForexCard,com.forexcard.pdf,PdfGeneratorService.new PdfPageEventHelper() {...},57,0,0,0,15,0,2,0,2,0
ForexCard,com.forexcard.pdf,PdfGeneratorService,414,0,8,0,74,0,7,0,3,0
ForexCard,com.forexcard.dto,UserDTO,56,0,0,0,21,0,11,0,11,0
ForexCard,com.forexcard.dto,UserLoginDTO,29,17,0,0,12,8,5,5,5,5
ForexCard,com.forexcard.dto,PendingUserDTO,123,3,0,0,50,2,25,1,25,1
ForexCard,com.forexcard.dto,AuditorTransactionDTO,93,0,0,0,38,0,19,0,19,0
ForexCard,com.forexcard.dto,TransactionDTO,121,0,4,0,44,0,23,0,21,0
ForexCard,com.forexcard.dto,UserDetailsDTO,86,0,0,0,36,0,18,0,18,0
ForexCard,com.forexcard.exception,InvalidPinException,0,4,0,0,0,2,0,1,0,1
ForexCard,com.forexcard.exception,InvalidFileException,4,0,0,0,2,0,1,0,1,0
ForexCard,com.forexcard.exception,OperationNotAllowedException,0,4,0,0,0,2,0,1,0,1
ForexCard,com.forexcard.exception,AuthenticationFailedException,0,4,0,0,0,2,0,1,0,1
ForexCard,com.forexcard.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ForexCard,com.forexcard.exception,GlobalExceptionHandler,13,3,0,0,3,1,2,1,2,1
ForexCard,com.forexcard.controller,ApplyCardController,30,3,0,0,6,1,1,1,1,1
ForexCard,com.forexcard.controller,ForgotPasswordController,31,3,4,0,8,1,3,1,1,1
ForexCard,com.forexcard.controller,CurrencyController,21,3,2,0,6,1,3,1,2,1
ForexCard,com.forexcard.controller,EmailController,100,12,10,0,24,5,8,1,3,1
ForexCard,com.forexcard.controller,AuthController,72,3,8,0,14,1,5,1,1,1
ForexCard,com.forexcard.controller,AuditorController,20,3,2,0,5,1,3,1,2,1
ForexCard,com.forexcard.controller,UserController,138,3,8,0,31,1,13,1,9,1
ForexCard,com.forexcard.controller,AdminController,100,3,8,0,23,1,8,1,4,1
ForexCard,com.forexcard.controller,ForexCardController,68,6,8,0,17,3,8,1,4,1
ForexCard,com.forexcard.controller,TransactionController,23,3,0,0,5,1,3,1,3,1
ForexCard,com.forexcard.config,WebConfig,0,51,0,0,0,7,0,2,0,2
ForexCard,com.forexcard.config,JwtFilter,70,3,6,0,19,1,4,1,1,1
ForexCard,com.forexcard.config,SecurityConfig,0,84,0,0,0,13,0,6,0,6
ForexCard,com.forexcard.util,JwtUtil,48,9,0,0,17,2,3,1,3,1
ForexCard,com.forexcard.dataload,DataLoader,251,10,1,1,24,3,1,2,0,2
ForexCard,com.forexcard.dataload,AdminAuditorSet,48,17,2,2,12,6,2,2,0,2
ForexCard,com.forexcard.service,AuditorService,40,3,2,0,8,1,4,1,3,1
ForexCard,com.forexcard.service,TransactionService,96,184,2,8,21,43,7,5,5,2
ForexCard,com.forexcard.service,AuthService,0,43,0,4,0,7,0,6,0,4
ForexCard,com.forexcard.service,ForexCardService,51,204,9,19,7,51,12,12,4,6
ForexCard,com.forexcard.service,ApplyCardService,98,3,4,0,24,1,4,1,2,1
ForexCard,com.forexcard.service,ForgotPasswordService,0,27,0,2,0,7,0,3,0,2
ForexCard,com.forexcard.service,AdminService,6,178,2,8,0,38,3,12,1,9
ForexCard,com.forexcard.service,CurrencyService,21,3,0,0,4,1,3,1,3,1
ForexCard,com.forexcard.service,EmailService,423,13,24,0,109,3,29,1,17,1
ForexCard,com.forexcard.service,UserService,113,6,10,0,25,3,13,1,8,1
